 0  0  0 ..I...BBI.K.GHAAKLGHDDKLG..JEEFF.J..
 1  1  0 ..I.K.BBI.K.GHAAKLGHDD.LG..JEEFF.J.. K99 
 1  1  0 ..I..LBBI.KLGHAAK.GHDDK.G..JEEFF.J.. L98 
 1  1  0 ..I...BBI.K.GHAAKLGHDDKLG..JEE.FFJ.. F99 
 1  1  0 ..I...BBI.K.G.AAKLGHDDKLGH.JEEFF.J.. H99 
 1  1  0 ..I...BBI.KLGHAAKLGHDDK.G..JEEFF.J.. L99 
 2  2  0 ..I.K.BBI.KLGHAAKLGHDD..G..JEEFF.J.. L99 K99 
 2  2  0 ..I...BBI.KLG.AAKLGHDDK.GH.JEEFF.J.. L99 H99 
 2  2  0 ..I...BBI.K.G.AAKLGHDDKLGH.JEE.FFJ.. H99 F99 
 2  2  0 ..I...BBI.K..HAAKLGHDDKLG..JEEGFFJ.. G99 F99 
 2  2  0 ..I.K.BBI.K.GHAAKLGHDD.LG..JEE.FFJ.. K99 F99 
 2  2  0 ..I...BBI.KLGHAAKLGHDDK.G..JEE.FFJ.. L99 F99 
 2  2  0 ..I.K.BBI.K.GHAAKLGH.DDLG..JEEFF.J.. D99 K99 
 2  2  0 ..I...BBI.K.GAA.KLGHDDKLGH.JEEFF.J.. A99 H99 
 2  2  0 ..I.K.BBI.K.G.AAKLGHDD.LGH.JEEFF.J.. K99 H99 
 2  2  0 ..I.KLBBI.KLGHAAK.GHDD..G..JEEFF.J.. K99 L98 
 2  2  0 ..I..LBBI.KLG.AAK.GHDDK.GH.JEEFF.J.. L98 H99 
 2  2  0 ..I..LBBI.KLGHAAK.GHDDK.G..JEE.FFJ.. F99 L98 
 3  3  0 ..I.K.BBI.KLGHAAKLGH..DDG..JEEFF.J.. D98 L99 K99 
 3  3  0 ..I..LBBI.KLG.AAK.GHDDK.GH.JEE.FFJ.. F99 L98 H99 
 3  3  0 ..I..LBBI.KL.HAAK.GHDDK.G..JEEGFFJ.. L98 G99 F99 
 3  3  0 ..I.K.BBI.K..HAAKLGHDD.LG..JEEGFFJ.. K99 G99 F99 
 3  3  0 ..I...BBI.K...AAKLGHDDKLGH.JEEGFFJ.. G99 H99 F99 
 3  3  0 ..I...BBI.K.GAA.KLGHDDKLGH.JEE.FFJ.. F99 A99 H99 
